City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp (°F),Wind Speed
Ajdabiya,0,LY,1561490317,78,30.75,20.22,77.09,21.09
Kapaa,75,US,1561490066,83,22.08,-159.32,80.6,8.05
Hobart,0,AU,1561490080,75,-42.88,147.33,45.0,8.05
Guerrero Negro,100,MX,1561490321,81,27.97,-114.04,63.41,6.91
Bluff,25,AU,1561490290,83,-23.58,149.07,53.87,8.66
Hoopstad,9,ZA,1561490323,30,-27.83,25.91,45.77,1.57
Castro,90,CL,1561490325,93,-42.48,-73.76,44.6,11.41
Severo-Kurilsk,100,RU,1561490257,97,50.68,156.12,43.25,9.82
Kodiak,1,US,1561490093,22,39.95,-94.76,86.0,10.29
Ushuaia,40,AR,1561490151,92,-54.81,-68.31,32.0,9.17
Usinsk,98,RU,1561490329,71,66.0,57.56,45.23,11.21
East London,90,ZA,1561490331,93,-33.02,27.91,57.2,11.41
Pangnirtung,20,CA,1561490332,66,66.15,-65.72,48.2,10.29
Vaini,46,IN,1561490212,89,15.34,74.49,78.89,4.23
Mataura,68,NZ,1561490146,82,-46.19,168.86,44.01,5.99
Cape Town,0,ZA,1561489900,71,-33.93,18.42,59.0,11.41
Mayo,40,CA,1561490167,43,63.59,-135.9,69.8,8.05
Herrin,20,US,1561490338,54,37.8,-89.03,84.99,11.41
Punta Arenas,20,CL,1561490294,64,-53.16,-70.91,39.2,10.29
Saint-Philippe,90,CA,1561490185,93,45.36,-73.48,70.0,12.75
Tabuk,98,PH,1561490341,98,17.41,121.44,66.11,1.28
Bani Walid,0,LY,1561490342,17,31.76,14.0,90.41,14.99
Castro,90,CL,1561490325,93,-42.48,-73.76,44.6,11.41
Lakatoro,76,VU,1561490348,80,-16.11,167.42,79.79,9.84
Cidreira,100,BR,1561490349,57,-30.17,-50.22,77.45,16.53
Kiunga,100,PG,1561490350,99,-6.12,141.3,72.77,3.76
Bluff,25,AU,1561490290,83,-23.58,149.07,53.87,8.66
Punta Arenas,20,CL,1561490294,64,-53.16,-70.91,39.2,10.29
Port Alfred,100,ZA,1561490202,94,-33.59,26.89,57.99,8.01
Mana,40,RS,1561490155,73,43.52,20.24,77.0,4.7
Bluff,25,AU,1561490290,83,-23.58,149.07,53.87,8.66
Kaitangata,43,NZ,1561490268,81,-46.28,169.85,39.0,5.01
Laguna,5,MX,1561490358,23,27.52,-110.01,95.0,9.17
Pacifica,40,US,1561490217,52,37.61,-122.49,75.99,8.05
Batagay-Alyta,35,RU,1561490361,76,67.8,130.41,52.97,2.39
Severo-Kurilsk,100,RU,1561490257,97,50.68,156.12,43.25,9.82
Port Keats,38,AU,1561490363,28,-14.25,129.55,61.97,13.65
Bilibino,8,RU,1561490364,36,68.06,166.44,52.79,4.83
Vaini,46,IN,1561490212,89,15.34,74.49,78.89,4.23
Tuktoyaktuk,75,CA,1561490263,86,69.44,-133.03,39.2,19.46
Antofagasta,0,CL,1561489933,72,-23.65,-70.4,60.8,12.75
Punta Arenas,20,CL,1561490294,64,-53.16,-70.91,39.2,10.29
Bluff,25,AU,1561490290,83,-23.58,149.07,53.87,8.66
Bluff,25,AU,1561490290,83,-23.58,149.07,53.87,8.66
Rikitea,20,PF,1561490129,83,-23.12,-134.97,72.05,11.05
Linhares,1,BR,1561490377,53,-19.38,-40.06,82.67,6.93
Rikitea,20,PF,1561490129,83,-23.12,-134.97,72.05,11.05
Punta Arenas,20,CL,1561490294,64,-53.16,-70.91,39.2,10.29
Vaini,46,IN,1561490212,89,15.34,74.49,78.89,4.23
Ushuaia,40,AR,1561490151,92,-54.81,-68.31,32.0,9.17
Chokurdakh,0,RU,1561489951,39,70.62,147.9,65.93,10.8
Kodiak,1,US,1561490093,22,39.95,-94.76,86.0,10.29
Rikitea,20,PF,1561490129,83,-23.12,-134.97,72.05,11.05
Kargasok,84,RU,1561490386,62,59.06,80.87,64.49,3.38
Yumen,100,CN,1561490387,30,40.29,97.04,71.15,18.81
Lompoc,90,US,1561490287,77,34.64,-120.46,64.99,10.29
Yerbogachen,0,RU,1561490390,64,61.28,108.01,58.37,2.39
Biak,100,ID,1561490142,98,-0.91,122.88,64.67,4.25
Mar del Plata,0,AR,1561490252,34,-46.43,-67.52,43.25,14.94
Puerto Ayora,75,EC,1561490393,73,-0.74,-90.35,77.0,20.8
Constitucion,20,MX,1561490155,26,23.99,-104.67,81.0,3.36
Vaini,46,IN,1561490212,89,15.34,74.49,78.89,4.23
Hobart,0,AU,1561490080,75,-42.88,147.33,45.0,8.05
Sao Filipe,0,CV,1561490353,82,14.9,-24.5,75.11,18.92
Mahebourg,75,MU,1561490085,78,-20.41,57.7,75.2,14.99
Thyolo,0,MW,1561490400,81,-16.07,35.15,60.71,7.87
Hilo,75,US,1561490402,61,19.71,-155.08,82.4,8.05
Busselton,18,AU,1561490164,85,-33.64,115.35,55.0,25.99
Jacareacanga,96,BR,1561490404,39,-6.22,-57.76,91.67,4.92
Mar del Plata,0,AR,1561490252,34,-46.43,-67.52,43.25,14.94
Port Alfred,100,ZA,1561490202,94,-33.59,26.89,57.99,8.01
Srednekolymsk,21,RU,1561489826,43,67.46,153.71,68.99,2.75
Ulladulla,75,AU,1561490409,100,-35.36,150.48,48.2,5.82
Atuona,5,PF,1561490070,76,-9.8,-139.03,81.23,22.21
Sambava,21,MG,1561490411,96,-14.27,50.17,67.19,2.01
Bam,0,IR,1561490418,14,29.11,58.36,74.39,11.27
Iqaluit,75,CA,1561490421,66,63.75,-68.52,50.0,5.82
Busselton,18,AU,1561490164,85,-33.64,115.35,55.0,25.99
Tengzhou,57,CN,1561490424,48,35.11,117.16,78.01,11.74
Rikitea,20,PF,1561490129,83,-23.12,-134.97,72.05,11.05
Provideniya,98,RU,1561490068,82,64.42,-173.23,40.01,12.86
Vaini,46,IN,1561490212,89,15.34,74.49,78.89,4.23
Sungairaya,100,ID,1561490429,82,0.7,108.9,83.57,12.91
Kalabo,0,ZM,1561490431,31,-15.0,22.67,62.69,0.98
Flin Flon,75,CA,1561490432,63,54.77,-101.88,60.8,8.05
Ahuimanu,75,US,1561490434,88,21.44,-157.84,80.6,5.82
Amarpur,93,IN,1561490435,87,23.52,91.65,80.87,6.51
Tawau,75,MY,1561490436,94,4.26,117.89,77.0,3.36
Alta Floresta,27,BR,1561490238,30,-9.87,-56.08,92.21,3.85
Kahului,20,US,1561490153,69,20.89,-156.47,82.99,3.36
Comodoro Rivadavia,0,AR,1561490120,49,-45.87,-67.48,46.4,12.75
Lebu,75,ET,1561490258,68,8.96,38.73,64.4,3.98
Tuktoyaktuk,75,CA,1561490263,86,69.44,-133.03,39.2,19.46
East London,90,ZA,1561490331,93,-33.02,27.91,57.2,11.41
Prince Rupert,1,CA,1561490444,72,54.32,-130.32,59.0,6.93
Chokurdakh,0,RU,1561489951,39,70.62,147.9,65.93,10.8
Inta,98,RU,1561490446,75,66.04,60.13,43.61,13.24
Bredasdorp,76,ZA,1561490448,77,-34.53,20.04,59.0,16.11
Yenagoa,97,NG,1561490115,89,4.92,6.26,75.11,5.97
Caravelas,10,BR,1561490121,65,-17.73,-39.27,79.79,10.33
Khandyga,56,RU,1561490451,83,62.65,135.58,51.17,4.36
Carutapera,8,BR,1561490453,68,-1.2,-46.02,84.47,7.2
Sitka,55,US,1561490454,48,37.17,-99.65,87.01,13.0
Jati,83,PK,1561490455,75,24.35,68.27,84.83,14.47
Rio do Sul,52,BR,1561490456,1,-27.22,-49.64,79.0,6.96
Rikitea,20,PF,1561490129,83,-23.12,-134.97,72.05,11.05
Bluff,25,AU,1561490290,83,-23.58,149.07,53.87,8.66
Ribeira Grande,40,PT,1561490235,64,38.52,-28.7,68.0,10.29
Rio Cuarto,0,AR,1561490461,17,-33.13,-64.35,55.4,12.75
Rikitea,20,PF,1561490129,83,-23.12,-134.97,72.05,11.05
Halifax,20,CA,1561490400,59,44.65,-63.58,75.0,16.11
Aswan,0,EG,1561490271,15,24.09,32.9,104.0,3.36
Tignere,98,CM,1561490347,96,7.37,12.65,69.71,2.73
Kapaa,75,US,1561490066,83,22.08,-159.32,80.6,8.05
Ushuaia,40,AR,1561490151,92,-54.81,-68.31,32.0,9.17
Yellowknife,20,CA,1561490196,37,62.45,-114.38,71.6,8.05
Chokurdakh,0,RU,1561489951,39,70.62,147.9,65.93,10.8
Tuatapere,75,NZ,1561489885,82,-46.13,167.69,44.01,5.99
Santa Barbara,90,US,1561490440,82,34.42,-119.7,69.8,5.82
Airai,0,TL,1561490480,76,-8.93,125.41,65.57,5.68
Diest,75,BE,1561490481,54,50.98,5.05,91.0,3.36
Bilma,64,NE,1561490482,15,18.69,12.92,97.61,8.57
Riga,0,LV,1561490433,40,56.95,24.11,69.8,3.36
Hithadhoo,99,MV,1561490131,68,-0.6,73.08,85.19,6.22
Carnarvon,0,ZA,1561490489,29,-30.97,22.13,50.63,8.55
Nanortalik,70,GL,1561490490,86,60.14,-45.24,41.81,1.23
Cape Town,0,ZA,1561489900,71,-33.93,18.42,59.0,11.41
Punta Arenas,20,CL,1561490294,64,-53.16,-70.91,39.2,10.29
Bathsheba,40,BB,1561490494,66,13.22,-59.52,86.0,19.46
Ostersund,0,SE,1561490495,82,63.18,14.64,55.4,8.05
Ushuaia,40,AR,1561490151,92,-54.81,-68.31,32.0,9.17
Tura,100,IN,1561490002,78,25.52,90.21,82.85,11.79
Ushuaia,40,AR,1561490151,92,-54.81,-68.31,32.0,9.17
Tuktoyaktuk,75,CA,1561490263,86,69.44,-133.03,39.2,19.46
Busselton,18,AU,1561490164,85,-33.64,115.35,55.0,25.99
Tortoli,5,IT,1561490502,65,39.93,9.66,77.0,17.22
Rikitea,20,PF,1561490129,83,-23.12,-134.97,72.05,11.05
Pavino,0,RU,1561490504,82,55.02,82.61,59.0,2.24
Ejea de los Caballeros,9,ES,1561490505,24,42.13,-1.14,93.2,12.75
Hamilton,75,CA,1561490397,73,43.26,-79.87,77.0,16.11
Rikitea,20,PF,1561490129,83,-23.12,-134.97,72.05,11.05
Dubbo,61,AU,1561490509,87,-32.25,148.6,44.6,13.87
Albany,75,US,1561489826,61,42.65,-73.75,82.4,4.7
Nanortalik,70,GL,1561490490,86,60.14,-45.24,41.81,1.23
Alice Springs,0,AU,1561490366,43,-23.7,133.88,35.6,5.82
Tamiahua,89,MX,1561490514,84,21.28,-97.45,81.95,13.96
Cidreira,100,BR,1561490349,57,-30.17,-50.22,77.45,16.53
Rikitea,20,PF,1561490129,83,-23.12,-134.97,72.05,11.05
Torbay,75,CA,1561489973,76,47.66,-52.73,61.0,9.17
Mogadishu,6,SO,1561490518,84,2.04,45.34,75.47,11.99
Teknaf,56,BD,1561490519,82,20.86,92.31,85.01,10.98
Mahebourg,75,MU,1561490085,78,-20.41,57.7,75.2,14.99
Saltpond,100,GH,1561490522,93,5.2,-1.06,74.75,13.4
Pangai,75,TO,1561490523,78,-19.8,-174.35,77.0,9.17
Yellowknife,20,CA,1561490196,37,62.45,-114.38,71.6,8.05
Samarai,100,PG,1561490525,96,-10.62,150.67,73.85,6.85
Yelan,0,RU,1561490527,51,50.95,43.74,64.0,4.0
Butaritari,100,KI,1561490528,77,3.07,172.79,83.03,12.53
Hermanus,38,ZA,1561490154,85,-34.42,19.24,59.0,8.01
Ushuaia,40,AR,1561490151,92,-54.81,-68.31,32.0,9.17
East London,90,ZA,1561490331,93,-33.02,27.91,57.2,11.41
Mataura,68,NZ,1561490146,82,-46.19,168.86,44.01,5.99
Ushuaia,40,AR,1561490151,92,-54.81,-68.31,32.0,9.17
Nsanje,49,MZ,1561490535,71,-16.92,35.26,69.71,8.93
Jamestown,0,AU,1561490110,58,-33.21,138.6,45.95,7.83
Albany,75,US,1561489826,61,42.65,-73.75,82.4,4.7
Poum,40,MK,1561490539,68,41.28,20.71,71.6,5.82
Zahnitkiv,34,UA,1561490540,76,48.04,28.9,69.01,7.11
Rikitea,20,PF,1561490129,83,-23.12,-134.97,72.05,11.05
Lagoa,0,PT,1561490542,83,37.14,-8.45,71.01,10.29
Kibuye,99,RW,1561490543,75,-2.07,29.35,65.39,3.85
Avarua,100,CK,1561490000,69,-21.21,-159.78,75.2,5.82
New Waterford,40,US,1561490546,44,40.85,-80.61,82.99,9.17
Puerto Ayora,75,EC,1561490393,73,-0.74,-90.35,77.0,20.8
Laramie,1,US,1561490548,23,41.31,-105.59,75.2,16.11
Provideniya,98,RU,1561490068,82,64.42,-173.23,40.01,12.86
Wukari,60,NG,1561490554,87,7.87,9.78,78.35,4.97
Diest,75,BE,1561490481,54,50.98,5.05,91.0,3.36
Ushuaia,40,AR,1561490151,92,-54.81,-68.31,32.0,9.17
Busselton,18,AU,1561490164,85,-33.64,115.35,55.0,25.99
Peque,98,CO,1561490561,57,7.02,-75.91,75.29,0.4
Mar del Plata,0,AR,1561490252,34,-46.43,-67.52,43.25,14.94
Barrow,0,AR,1561490563,42,-38.31,-60.23,49.91,21.61
Saskylakh,50,RU,1561490565,49,71.97,114.09,69.17,8.16
Port Alfred,100,ZA,1561490202,94,-33.59,26.89,57.99,8.01
Westport,75,IE,1561490394,77,53.8,-9.52,66.0,8.05
Nagato,75,JP,1561490568,83,34.35,131.14,75.2,10.29
Te Anau,1,NZ,1561490570,84,-45.41,167.72,37.85,4.34
Zhezkazgan,23,KZ,1561490571,16,47.8,67.71,84.83,7.87
Vaini,46,IN,1561490212,89,15.34,74.49,78.89,4.23
Ribeira Grande,40,PT,1561490235,64,38.52,-28.7,68.0,10.29
Port Alfred,100,ZA,1561490202,94,-33.59,26.89,57.99,8.01
Rikitea,20,PF,1561490129,83,-23.12,-134.97,72.05,11.05
Albany,75,US,1561489826,61,42.65,-73.75,82.4,4.7
Victoria,75,BN,1561490191,88,5.28,115.24,82.4,4.41
Kalaleh,0,IR,1561490579,66,37.38,55.49,87.8,4.7
Wroclaw,0,PL,1561490387,51,51.1,17.03,88.0,5.82
Svay Rieng,100,KH,1561490581,88,11.08,105.8,79.97,5.93
Ushuaia,40,AR,1561490151,92,-54.81,-68.31,32.0,9.17
Deer Lake,90,CA,1561490584,54,49.18,-57.43,57.2,5.82
Kodiak,1,US,1561490093,22,39.95,-94.76,86.0,10.29
Tiksi,30,RU,1561490100,58,71.64,128.87,54.05,4.27
Tyssedal,99,NO,1561490587,86,60.12,6.56,62.01,1.95
Tasiilaq,5,GL,1561490588,75,65.61,-37.64,44.6,12.75
Klaksvik,75,FO,1561490590,87,62.23,-6.59,51.8,8.05
Guerrero Negro,100,MX,1561490321,81,27.97,-114.04,63.41,6.91
Sayat,0,TM,1561490592,18,38.78,63.88,84.2,11.41
Kruisfontein,90,ZA,1561490593,94,-34.0,24.73,52.79,8.37
Geraldton,90,CA,1561490254,100,49.72,-86.95,57.2,9.17
Zelenoborskiy,92,RU,1561490596,77,66.84,32.36,56.21,3.22
Castro,90,CL,1561490325,93,-42.48,-73.76,44.6,11.41
Hobart,0,AU,1561490080,75,-42.88,147.33,45.0,8.05
Ushuaia,40,AR,1561490151,92,-54.81,-68.31,32.0,9.17
Cape Town,0,ZA,1561489900,71,-33.93,18.42,59.0,11.41
Saint-Philippe,90,CA,1561490185,93,45.36,-73.48,70.0,12.75
Corinto,51,BR,1561490603,44,-18.36,-44.46,79.61,2.77
Provideniya,98,RU,1561490068,82,64.42,-173.23,40.01,12.86
Cherskiy,0,RU,1561490351,34,68.75,161.3,65.21,5.39
Punta Arenas,20,CL,1561490294,64,-53.16,-70.91,39.2,10.29
Mount Gambier,0,AU,1561490607,93,-37.83,140.78,35.6,5.82
Rikitea,20,PF,1561490129,83,-23.12,-134.97,72.05,11.05
Ostrovnoy,84,RU,1561490610,63,68.05,39.51,48.29,3.42
Bellary,84,IN,1561490611,73,15.15,76.93,76.37,17.76
Pokhara,40,NP,1561490612,89,28.21,83.99,56.39,1.59
Bredasdorp,76,ZA,1561490448,77,-34.53,20.04,59.0,16.11
Marrakesh,0,MA,1561490399,35,31.63,-7.99,89.6,17.22
Puerto Ayora,75,EC,1561490393,73,-0.74,-90.35,77.0,20.8
Albany,75,US,1561489826,61,42.65,-73.75,82.4,4.7
Basoko,91,CD,1561490621,97,1.23,23.61,70.25,6.42
Lebu,75,ET,1561490258,68,8.96,38.73,64.4,3.98
Hamilton,75,CA,1561490397,73,43.26,-79.87,77.0,16.11
Hobart,0,AU,1561490080,75,-42.88,147.33,45.0,8.05
Khatanga,94,RU,1561490626,66,71.98,102.47,63.05,21.88
Butaritari,100,KI,1561490528,77,3.07,172.79,83.03,12.53
Nanortalik,70,GL,1561490490,86,60.14,-45.24,41.81,1.23
Lebu,75,ET,1561490258,68,8.96,38.73,64.4,3.98
Avarua,100,CK,1561490000,69,-21.21,-159.78,75.2,5.82
Cayenne,20,GF,1561490298,74,4.94,-52.33,84.2,9.17
Punta Arenas,20,CL,1561490294,64,-53.16,-70.91,39.2,10.29
Rawlins,1,US,1561490634,19,41.79,-107.24,75.2,17.22
